Grid_X,Grid_Y,Latitude,Longitude,Quality_Score,Forest_%,Connectivity_%,Safety_%,Habitat_Quality_%,Restoration_%
49,39,-18.63,45.73,193.6,49.0,81.2,43.6,48.6,31.8
90,45,-13.3,46.15,180.76,47.9,78.7,9.9,46.6,35.0
68,56,-16.16,46.92,191.95,53.9,79.8,52.6,52.1,35.7
59,57,-17.33,46.99,185.92,49.7,81.4,32.8,46.3,33.5
49,39,-18.63,45.73,193.6,49.0,81.2,43.6,48.6,31.8
74,43,-15.38,46.01,186.47,45.8,80.6,38.9,53.5,34.8
93,55,-12.91,46.85,171.94,45.8,71.6,33.7,43.7,39.9
63,60,-16.81,47.2,196.33,93.2,95.4,60.3,62.2,36.6
81,63,-14.47,47.41,155.82,58.0,81.8,13.3,42.5,41.2
92,56,-13.04,46.92,169.35,54.4,74.7,48.0,44.0,41.6
90,45,-13.3,46.15,180.76,47.9,78.7,9.9,46.6,35.0
63,60,-16.81,47.2,196.33,93.2,95.4,60.3,62.2,36.6
71,43,-15.77,46.01,183.49,47.7,79.5,6.8,38.0,38.7
74,43,-15.38,46.01,186.47,45.8,80.6,38.9,53.5,34.8
97,55,-12.39,46.85,162.32,48.6,71.2,7.9,34.7,30.8
92,57,-13.04,46.99,184.33,46.6,72.3,53.3,43.8,42.1
63,60,-16.81,47.2,196.33,93.2,95.4,60.3,62.2,36.6
66,68,-16.42,47.76,167.67,58.7,83.9,10.1,48.7,37.4
97,55,-12.39,46.85,162.32,48.6,71.2,7.9,34.7,30.8
70,53,-15.9,46.71,175.65,46.1,79.8,7.1,43.9,33.3
92,57,-13.04,46.99,184.33,46.6,72.3,53.3,43.8,42.1
51,40,-18.37,45.8,189.57,49.6,80.5,37.7,52.7,35.8
92,57,-13.04,46.99,184.33,46.6,72.3,53.3,43.8,42.1
93,49,-12.91,46.43,135.01,76.5,85.0,7.1,48.6,39.6
90,45,-13.3,46.15,180.76,47.9,78.7,9.9,46.6,35.0
65,72,-16.55,48.04,165.42,98.3,91.0,4.5,55.6,40.8
63,60,-16.81,47.2,196.33,93.2,95.4,60.3,62.2,36.6
79,65,-14.73,47.55,165.7,93.3,92.0,12.9,53.4,42.1
90,45,-13.3,46.15,180.76,47.9,78.7,9.9,46.6,35.0
64,52,-16.68,46.64,178.67,94.9,94.9,35.3,56.8,31.6
73,69,-15.51,47.83,180.05,64.5,84.9,65.6,52.7,39.6
75,42,-15.25,45.94,188.88,45.2,80.9,51.0,53.0,35.9
97,55,-12.39,46.85,162.32,48.6,71.2,7.9,34.7,30.8
92,57,-13.04,46.99,184.33,46.6,72.3,53.3,43.8,42.1
63,43,-16.81,46.01,199.3,45.5,80.2,47.1,50.3,34.2
59,39,-17.33,45.73,190.08,47.8,76.9,13.8,42.2,32.3
87,43,-13.69,46.01,178.63,47.8,78.7,14.2,42.2,34.0
74,43,-15.38,46.01,186.47,45.8,80.6,38.9,53.5,34.8
68,56,-16.16,46.92,191.95,53.9,79.8,52.6,52.1,35.7
63,43,-16.81,46.01,199.3,45.5,80.2,47.1,50.3,34.2
64,54,-16.68,46.78,173.6,44.5,80.0,13.0,45.2,33.2
90,45,-13.3,46.15,180.76,47.9,78.7,9.9,46.6,35.0
70,40,-15.9,45.8,172.58,66.6,84.7,60.9,52.9,29.4
68,56,-16.16,46.92,191.95,53.9,79.8,52.6,52.1,35.7
90,45,-13.3,46.15,180.76,47.9,78.7,9.9,46.6,35.0
65,66,-16.55,47.62,178.82,93.0,95.4,10.0,60.9,38.4
65,66,-16.55,47.62,178.82,93.0,95.4,10.0,60.9,38.4
92,56,-13.04,46.92,169.35,54.4,74.7,48.0,44.0,41.6
